date,cases,new_cases,deaths
2021-12-08,49505304,-49505304,791933
2021-12-07,49356263,149041,790082
2021-12-06,49242271,113992,788315
2021-12-05,49044822,197449,786964
2021-12-04,49010250,34572,786803
2021-12-03,48952109,58141,786313
2021-12-02,48798864,153245,784164
2021-12-01,48660145,138719,782814
2021-11-30,48520788,139357,780848
2021-11-29,48411494,109294,779293
2021-11-28,48195182,216312,777417
2021-11-27,48171232,23950,777310
2021-11-26,48146553,24679,777118
2021-11-25,48095028,51525,776574
2021-11-24,48064175,30853,776197
2021-11-23,47944283,119892,774580
2021-11-22,47851512,92771,773106
2021-11-21,47692614,158898,771871
2021-11-20,47661242,31372,771745
2021-11-19,47620178,41064,771430
2021-11-18,47500530,119648,769434
2021-11-17,47390257,110273,766206
2021-11-16,47275900,114357,764603
2021-11-15,47185415,90485,763178
2021-11-14,47036791,148624,761980
2021-11-13,47013182,23609,761838
2021-11-12,46951785,61397,761374
2021-11-11,46822434,129351,759310
2021-11-10,46757833,64601,758588
2021-11-09,46658771,99062,756951
2021-11-08,46575792,82979,755273
2021-11-07,46449331,126461,754051
2021-11-06,46427246,22085,753919
2021-11-05,46395307,31939,753517
2021-11-04,46303539,91768,751203
2021-11-03,46220452,83087,750077
2021-11-02,46135608,84844,748197
2021-11-01,46058665,76943,746688
2021-10-31,45934095,124570,745535
2021-10-30,45915212,18883,745378
2021-10-29,45885801,29411,745075
2021-10-28,45797078,88723,743050
2021-10-27,45710893,86185,741277
2021-10-26,45616349,94544,739259
2021-10-25,45528926,87423,737526
2021-10-24,45423365,105561,736112
2021-10-23,45406263,17102,735964
2021-10-22,45376439,29824,735515
2021-10-21,45289143,87296,733385
2021-10-20,45207197,81946,731512
2021-10-19,45120575,86622,728407
2021-10-18,45036892,83683,726389
2021-10-17,44914859,122033,724499
2021-10-16,44892707,22152,724317
2021-10-15,44859166,33541,723931
2021-10-14,44760606,98560,721766
2021-10-13,44671637,88969,719735
2021-10-12,44565080,106557,717501
2021-10-11,44453504,111576,714969
2021-10-10,44329824,123680,713806
2021-10-09,44306785,23039,713325
2021-10-08,44269451,37334,712822
2021-10-07,44156525,112926,710378
2021-10-06,44051123,105402,707924
2021-10-05,43925168,125955,705394
2021-10-04,43826566,98602,703362
2021-10-03,43653869,172697,701326
2021-10-02,43628030,25839,701077
2021-10-01,43583808,44222,700429
2021-09-30,43458032,125776,697988
2021-09-29,43341823,116209,695244
2021-09-28,43213311,128512,692741
2021-09-27,43099971,113340,690559
2021-09-26,42905182,194789,688178
2021-09-25,42870947,34235,687876
2021-09-24,42819355,51592,687247
2021-09-23,42679344,140011,684498
2021-09-22,42551480,127864,681343
2021-09-21,42403987,147493,678556
2021-09-20,42274012,129975,676191
2021-09-19,42065846,208166,673939
2021-09-18,42025890,39956,673637
2021-09-17,41957710,68180,672813
2021-09-16,41790772,166938,670234
2021-09-15,41635889,154883,666816
2021-09-14,41465694,170195,664235
2021-09-13,41312998,152696,661579
2021-09-12,41027940,285058,659854
2021-09-11,40988382,39558,659556
2021-09-10,40914456,73926,658865
2021-09-09,40738140,176316,656448
2021-09-08,40567569,170571,653216
2021-09-07,40383380,184189,651014
2021-09-06,40082242,301138,648788
2021-09-05,40005266,76976,648273
2021-09-04,39960849,44417,647896
2021-09-03,39894795,66054,647370
2021-09-02,39703320,191475,645391
2021-09-01,39527624,175696,642454
2021-08-31,39316629,210995,640519
2021-08-30,39156379,160250,639081
2021-08-29,38875976,280403,637356
2021-08-28,38833818,42158,637076
2021-08-27,38748559,85259,636509
2021-08-26,38552648,195911,634735
2021-08-25,38364887,187761,632522
2021-08-24,38193951,170936,631057
2021-08-23,38043754,150197,629644
2021-08-22,37777607,266147,628285
2021-08-21,37737034,40573,628100
2021-08-20,37657643,79391,627631
2021-08-19,37458037,199606,626099
2021-08-18,37298285,159752,624365
2021-08-17,37133674,164611,623237
2021-08-16,36989377,144297,622244
2021-08-15,36729884,259493,621228
2021-08-14,36686066,43818,621051
2021-08-13,36636249,49817,620809
2021-08-12,36448857,187392,619723
2021-08-11,36310148,138709,618701
2021-08-10,36154571,155577,618363
2021-08-09,35992480,162091,617314
2021-08-08,35813789,178691,616594
2021-08-07,35777721,36068,616463
2021-08-06,35735606,42115,616257
2021-08-05,35567255,168351,615408
2021-08-04,35440283,126972,614834
2021-08-03,35327939,112344,614109
2021-08-02,35177628,150311,613440
2021-08-01,35041458,136170,612982
2021-07-31,35018564,22894,612919
2021-07-30,34988866,29698,612775
2021-07-29,34866192,122674,612104
2021-07-28,34767898,98294,611701
2021-07-27,34682937,84961,611206
2021-07-26,34576119,106818,610722
2021-07-25,34483033,93086,610449
2021-07-24,34469200,13833,610400
2021-07-23,34447610,21590,610299
2021-07-22,34364548,83062,609856
2021-07-21,34299048,65500,609494
2021-07-20,34239257,59791,609097
2021-07-19,34177146,62111,608797
2021-07-18,34117964,59182,608566
2021-07-17,34108937,9027,608529
2021-07-16,34096492,12445,608446
2021-07-15,34044268,52224,608089
2021-07-14,34008250,36018,607751
2021-07-13,33970195,38055,607358
2021-07-12,33927213,42982,606926
2021-07-11,33891830,35383,606653
2021-07-10,33886287,5543,606623
2021-07-09,33878529,7758,606535
2021-07-08,33843194,35335,606128
2021-07-07,33793961,49233,605762
2021-07-06,33763742,30219,605440
2021-07-05,33736665,27077,605123
2021-07-04,33732074,4591,605082
2021-07-03,33729152,2922,605045
2021-07-02,33725159,3993,604959
2021-07-01,33704723,20436,604693
2021-06-30,33639764,64959,604446
2021-06-29,33623787,15977,604123
2021-06-28,33608058,15729,603744
2021-06-27,33592510,15548,603583
2021-06-26,33588423,4087,603487
2021-06-25,33581632,6791,603361
2021-06-24,33566669,14963,602903
2021-06-23,33551974,14695,602548
2021-06-22,33537943,14031,602150
2021-06-21,33525182,12761,601718
2021-06-20,33509338,15844,601430
2021-06-19,33505275,4063,601340
2021-06-18,33497695,7580,601171
2021-06-17,33484995,12700,600702
2021-06-16,33472808,12187,600414
2021-06-15,33458397,14411,599990
2021-06-14,33446525,11872,599538
2021-06-13,33431406,15119,599328
2021-06-12,33424619,6787,599233
2021-06-11,33416340,8279,599063
2021-06-10,33399513,16827,598546
2021-06-09,33383714,15799,598086
2021-06-08,33363050,20664,597514
2021-06-07,33348865,14185,597139
2021-06-06,33329413,19452,596803
2021-06-05,33323260,6153,596551
2021-06-04,33312812,10448,596176
2021-06-03,33336811,-23999,596037
2021-06-02,33317340,19471,595421
2021-06-01,33300482,16858,594827
2021-05-31,33277912,22570,594321
2021-05-30,33272409,5503,594171
2021-05-29,33264967,7442,594040
2021-05-28,33253407,11560,593701
2021-05-27,33231383,22024,592942
2021-05-26,33203636,27747,591601
2021-05-25,33180250,23386,590635
2021-05-24,33157412,22838,589935
2021-05-23,33131784,25628,589518
2021-05-22,33117634,14150,589329
2021-05-21,33099318,18316,588850
2021-05-20,33070307,29011,588154
2021-05-19,33040689,29618,587500
2021-05-18,33011895,28794,586825
2021-05-17,32984032,27863,585958
2021-05-16,32954825,29207,585574
2021-05-15,32938115,16710,585282
2021-05-14,32909065,29050,584723
2021-05-13,32868084,40981,583991
2021-05-12,32829645,38439,583211
2021-05-11,32794162,35483,582363
2021-05-10,32760121,34041,581670
2021-05-09,32723564,36557,581300
2021-05-08,32701236,22328,581054
2021-05-07,32667570,33666,580450
2021-05-06,32620077,47493,579638
2021-05-05,32572383,47694,578806
2021-05-04,32527664,44719,578030
2021-05-03,32486709,40955,577123
2021-05-02,32436765,49944,576664
2021-05-01,32407133,29632,576352
2021-04-30,32362374,44759,575637
2021-04-29,32303857,58517,574777
2021-04-28,32246275,57582,573903
2021-04-27,32191457,54818,572969
2021-04-26,32139580,51877,572256
2021-04-25,32092245,47335,571777
2021-04-24,32058654,33591,571495
2021-04-23,32008186,50468,570770
2021-04-22,31944402,63784,569897
2021-04-21,31878161,66241,568986
2021-04-20,31815666,62495,568146
2021-04-19,31754642,61024,567314
2021-04-18,31684382,70260,566829
2021-04-17,31642983,41399,566471
2021-04-16,31589109,53874,565794
2021-04-15,31510755,78354,564859
2021-04-14,31437061,73694,563942
2021-04-13,31361311,75750,563007
2021-04-12,31283990,77321,562024
2021-04-11,31212058,71932,561559
2021-04-10,31164081,47977,561258
2021-04-09,31099323,64758,560554
